emotion_label,clean_content,clean_withSW_SL,clean_noSW_SL,clean_noSW_noSL
0,work work work my desk is a sea of papers and i am the dinghy being tossed about in its waves,work work work my desk is a sea of papers and i am the dinghy being tossed about in its waves,work work work desk sea papers dinghy tossed waves,work work work desk sea paper dinghi toss wave
0,ready for a new week,ready for a new week,ready new week,readi new week
0,yes please and if you re gone i might actually get some work done lol,yes please and if you re gone i might actually get some work done lol,yes please gone might actually get work done lol,ye plea go might actual get work do lol
0,lowkey tired yet still energetic,lowkey tired yet still energetic,lowkey tired yet still energetic,lowkey tire yet still energet
0,and the download failed my phone does not like your phone,and the download failed my phone does not like your phone,download failed phone not like phone,download fail phone not like phone
0,haha breakfast will fix that w a large cwoffee,haha breakfast will fix that w a large cwoffee,haha breakfast fix large cwoffee,haha breakfast fix larg cwoffe
0,i m thinking the quot chevrolet doom quot would be fitting for gm,i m thinking the quot chevrolet doom quot would be fitting for gm,thinking quot chevrolet doom quot would fitting gm,think quot chevrolet doom quot would fit gm
0,it feels like it should be a bank holiday weekend i bet it is in france they re always on holiday,it feels like it should be a bank holiday weekend i bet it is in france they re always on holiday,feels like bank holiday weekend bet france always holiday,feel like bank holiday weekend bet franc alway holiday
0,blah blah blah just kidding dude i ve never had anyone offer up their stem cells before haha,blah blah blah just kidding dude i ve never had anyone offer up their stem cells before haha,blah blah blah kidding dude never anyone offer stem cells haha,blah blah blah kid dude never anyon offer stem cell haha
0,miley i tried voting for you and it wont let me vote for some reason ill try back a little later lt 3,miley i tried voting for you and it wont let me vote for some reason ill try back a little later lt ,miley tried voting wont let vote reason ill try back little later lt,miley tri vote wont let vote reason ill tri back littl later lt
0,oh but that girl but aidan,oh but that girl but aidan,oh girl aidan,oh girl aidan
0,yawn i think imma go to bed night guys,yawn i think imma go to bed night guys,yawn think imma go bed night guys,yawn think imma go bed night guy
0,just finished her tennis match lost tho 6 3 1 6 4 6,just finished her tennis match lost tho      ,finished tennis match lost tho,finish tenni match lose tho
0,sold out,sold out,sold,sell
0,going to bed night all,going to bed night all,going bed night,go bed night
0,i feel your pain man people say it s really good but i don t have the money to waste on a ps3,i feel your pain man people say it s really good but i don t have the money to waste on a ps,feel pain man people say really good money waste ps,feel pain man peopl say realli good money wast p
0,haha wats this about,haha wats this about,haha wats,haha wat
0,totally forgot about the dgree show et al now ensconced in home wine and ready for bed,totally forgot about the dgree show et al now ensconced in home wine and ready for bed,totally forgot dgree show et al ensconced home wine ready bed,total forgot dgree show et al ensconc home wine readi bed
0,crawling back into bed because i can,crawling back into bed because i can,crawling back bed,crawl back bed
0,anymore,anymore,anymore,anymor
0,hi meg life s a climb but the view is great,hi meg life s a climb but the view is great,hi meg life climb view great,hi meg life climb view great
0,update 100,update ,update,updat
0,the day is almost over atlast i was able to through with all the comments now waiting for the new blog from ted,the day is almost over atlast i was able to through with all the comments now waiting for the new blog from ted,day almost atlast able comments waiting new blog ted,day almost atlast abl comment wait new blog ted
0,ive totally 4got the donation link gonna double my donation this week x,ive totally got the donation link gonna double my donation this week x,ive totally got donation link gonna double donation week,ive total get donat link gonna doubl donat week
0,oh you ve been superseeded not good enough,oh you ve been superseeded not good enough,oh superseeded not good enough,oh superseed not good enough
0,it s ok lol i think we might do the same dates,it s ok lol i think we might do the same dates,ok lol think might dates,ok lol think might date
0,nt online today amp mayb whole of next week if u havent voted pls do,nt online today amp mayb whole of next week if u havent voted pls do,nt online today amp mayb whole next week havent voted pls,nt onlin today amp mayb whole next week havent vote pl
0,u don t know harajuku lovers,u don t know harajuku lovers,know harajuku lovers,know harajuku lover
0,is it weird that i really want a harry potter bed spread and pillows i wish i could find one that wasn t gryffindor,is it weird that i really want a harry potter bed spread and pillows i wish i could find one that wasn t gryffindor,weird really want harry potter bed spread pillows wish could find one gryffindor,weird realli want harri potter bed spread pillow wish could find one gryffindor
0,in my room its too damn warm windows open but im still cooking,in my room its too damn warm windows open but im still cooking,room damn warm windows open im still cooking,room damn warm window open im still cook
0,it takes a big man to type a sad tweet like that,it takes a big man to type a sad tweet like that,takes big man type sad tweet like,take big man type sad tweet like
0,i m both but more girl than guy,i m both but more girl than guy,girl guy,girl guy
0,happy mother s day to all mom s here and to your moms too,happy mother s day to all mom s here and to your moms too,happy mother day mom moms,happi mother day mom mom
0,thankyou yes off to a pre wedding party now,thankyou yes off to a pre wedding party now,thankyou yes pre wedding party,thankyou ye pre wed parti
0,just got home talk,just got home talk,got home talk,get home talk
0,ya ll are the only ones that cant see it maybe its just the twitter link or something,ya ll are the only ones that cant see it maybe its just the twitter link or something,ya ones cant see maybe twitter link something,ya one cant see mayb twitter link someth
0,thought you might be interested in see who s viewing your photos,thought you might be interested in see who s viewing your photos,thought might interested see viewing photos,thought might interest see view photo
0,its really hot out today being hairy is gay,its really hot out today being hairy is gay,really hot today hairy gay,realli hot today hairi gay
0,having a stressful morning just got my computer back crashed trying to reinstall everything,having a stressful morning just got my computer back crashed trying to reinstall everything,stressful morning got computer back crashed trying reinstall everything,stress morn get comput back crash tri reinstal everyth
0,girls night in,girls night in,girls night,girl night
0,is time for a little carbs and big cup of water and sleep next to my 5 year old son goodnite all,is time for a little carbs and big cup of water and sleep next to my  year old son goodnite all,time little carbs big cup water sleep next year old son goodnite,time littl carb big cup water sleep next year old son goodnit
0,d make it go awayyyyy,d make it go awayy,make go awayy,make go awayi
0,at the yard house,at the yard house,yard house,yard hous
0,possibly a carpenters number topical,possibly a carpenters number topical,possibly carpenters number topical,possibl carpent number topic
0,it is sad i feel bad when i hear it they look like mid 30 s it s like something u wld see on lifetime,it is sad i feel bad when i hear it they look like mid  s it s like something u wld see on lifetime,sad feel bad hear look like mid like something wld see lifetime,sad feel bad hear look like mid like someth wld see lifetim
0,i like the optimism,i like the optimism,like optimism,like optim
0,goodbye mountains fb,goodbye mountains fb,goodbye mountains fb,goodby mountain fb
0,well i did put in a good innings sweared at the brother in law was in fine form,well i did put in a good innings sweared at the brother in law was in fine form,well put good innings sweared brother law fine form,well put good inning swear brother law fine form
0,quot hi im jonathan from spotify 4 just 9 99 a month u cn have unlimited music w no interuptions quot but i luv r little chats j dont leave me,quot hi im jonathan from spotify  just   a month u cn have unlimited music w no interuptions quot but i luv r little chats j dont leave me,quot hi im jonathan spotify month cn unlimited music no interuptions quot luv little chats dont leave,quot hi im jonathan spotifi month cn unlimit music no interupt quot luv littl chat dont leav
0,damn so many good deals you guys have a conspiracy to steal all my money,damn so many good deals you guys have a conspiracy to steal all my money,damn many good deals guys conspiracy steal money,damn mani good deal guy conspiraci steal money
0,again agreed but having a program showing your friends are on facebook would be easier than giving every1 yer info,again agreed but having a program showing your friends are on facebook would be easier than giving every yer info,agreed program showing friends facebook would easier giving every yer info,agre program show friend facebook would easy give everi yer info
0,doesn t want to go to work,doesn t want to go to work,want go work,want go work
0,excuse me theres me jkidding lol so how long b4 yr fun night out starts lol,excuse me theres me jkidding lol so how long b yr fun night out starts lol,excuse theres jkidding lol long yr fun night starts lol,excus there jkid lol long yr fun night start lol
0,got the txt holla when ya need me,got the txt holla when ya need me,got txt holla ya need,get txt holla ya need
0,cleaning out my desk i ve found a betting slip from three months ago i stuck a tenner on newcastle getting relegated in the money,cleaning out my desk i ve found a betting slip from three months ago i stuck a tenner on newcastle getting relegated in the money,cleaning desk found betting slip three months ago stuck tenner newcastle getting relegated money,clean desk found bet slip three month ago stuck tenner newcastl get releg money
0,yes have to be right for church,yes have to be right for church,yes right church,ye right church
0,gogol bordello lt par prolly not even in the top 10 of gb shows i ve seen perhaps some old fashioned civilization ii will help,gogol bordello lt par prolly not even in the top  of gb shows i ve seen perhaps some old fashioned civilization ii will help,gogol bordello lt par prolly not even top gb shows seen perhaps old fashioned civilization ii help,gogol bordello lt par prolli not even top gb show see perhap old fashion civil ii help
0,cake is sold out at terminal 5,cake is sold out at terminal ,cake sold terminal,cake sell termin
0,sitting next to bed cannot lay down because iphone charging cable is too short,sitting next to bed cannot lay down because iphone charging cable is too short,sitting next bed cannot lay iphone charging cable short,sit next bed cannot lay iphon charg cabl short
0,still no class loaders or even custom assembly loaders,still no class loaders or even custom assembly loaders,still no class loaders even custom assembly loaders,still no class loader even custom assembl loader
0,thing always end up going bad,thing always end up going bad,thing always end going bad,thing alway end go bad
0,my skype is laqueshaa just cuz everyone else is saying theirs and i m such a loner d,my skype is laqueshaa just cuz everyone else is saying theirs and i m such a loner d,skype laqueshaa cuz everyone else saying loner,skype laqueshaa cuz everyon el say loner
0,homework amp study guides,homework amp study guides,homework amp study guides,homework amp studi guid
0,dammit you beat me to it,dammit you beat me to it,dammit beat,dammit beat
0,going to start very small like 0 10 or 0 50 then slowly to higher stakes,going to start very small like   or   then slowly to higher stakes,going start small like slowly higher stakes,go start small like slowli high stake
0,hey gerardo late response that day i was talking bout forgiving my brother 4 givin me wrong directions i got way to upset,hey gerardo late response that day i was talking bout forgiving my brother  givin me wrong directions i got way to upset,hey gerardo late response day talking bout forgiving brother givin wrong directions got way upset,hey gerardo late respons day talk bout forgiv brother givin wrong direct get way upset
0,ah yours is better enjoy,ah yours is better enjoy,ah better enjoy,ah well enjoy
0,send me your blog s rss feeds i have a site that will republish and send traffic to your site,send me your blog s rss feeds i have a site that will republish and send traffic to your site,send blog rss feeds site republish send traffic site,send blog r feed site republish send traffic site
0,yep,yep,yep,yep
0,graphic design should be making a business card but im on twitter,graphic design should be making a business card but im on twitter,graphic design making business card im twitter,graphic design make busi card im twitter
0,jayy it might hav to cost u a history essay,jayy it might hav to cost u a history essay,jayy might hav cost history essay,jayi might hav cost histori essay
0,yeah what megs said when the after block party is ovah,yeah what megs said when the after block party is ovah,yeah megs said block party ovah,yeah meg say block parti ovah
0,please don t forget us,please don t forget us,please forget us,plea forget u
0,now cash u kno i m not a hater jus upset i don t have my update yet,now cash u kno i m not a hater jus upset i don t have my update yet,cash kno not hater jus upset update yet,cash kno not hater ju upset updat yet
0,i m ready homie actually ima be working,i m ready homie actually ima be working,ready homie actually ima working,readi homi actual ima work
0,think 2 to start off with but a house that can fit 4 or we may go the whole hog and get 4 not sure yet,think  to start off with but a house that can fit  or we may go the whole hog and get  not sure yet,think start house fit may go whole hog get not sure yet,think start hous fit may go whole hog get not sure yet
0,just got finished cleaning and putting out my mom s presents happy mother s day i m going to sleeeeep,just got finished cleaning and putting out my mom s presents happy mother s day i m going to sleep,got finished cleaning putting mom presents happy mother day going sleep,get finish clean put mom present happi mother day go sleep
0,says just passed by to say hi busy with movie task from school,says just passed by to say hi busy with movie task from school,says passed say hi busy movie task school,say pas say hi busi movi task school
0,yoko ono ben lee it s easy,yoko ono ben lee it s easy,yoko ono ben lee easy,yoko ono ben lee easi
0,hmm might try this out for tomorrow,hmm might try this out for tomorrow,hmm might try tomorrow,hmm might tri tomorrow
